id,datum,typ,betrag,kategorie,gegen_name,verwendungszweck,referenz_id,error_types
TX-00001,2024-01-01,CREDIT,1256.00,miete,Chantal Täsche,Miete 01/2024 EH-045,MIE-006,
TX-00002,2024-01-01,CREDIT,1767.00,miete,David Jenkins,Miete 01/2024 EH-023,MIE-007,
TX-00003,2024-01-01,CREDIT,1863.00,miete,Peggy Hein,Miete 01/2024 EH-016,MIE-011,
TX-00004,2024-01-01,CREDIT,1583.00,miete,Kiara Mcintyre,Miete 01/2024 EH-010,MIE-013,
TX-00005,2024-01-01,CREDIT,1127.00,miete,Wilma Roht,Miete 01/2024 EH-039,MIE-014,
TX-00006,2024-01-01,CREDIT,901.00,miete,Magrit Mitschke,Miete 01/2024 EH-032,MIE-016,
TX-00007,2024-01-01,CREDIT,1006.00,miete,Jörgen Seidel,Miete 01/2024 EH-050,MIE-019,
TX-00008,2024-01-01,CREDIT,1925.00,miete,Anika Zimmer,Miete 01/2024 EH-042,MIE-020,
TX-00009,2024-01-01,CREDIT,2111.00,miete,Galina Wohlgemut,Miete 01/2024 EH-041,MIE-021,
TX-00010,2024-01-01,CREDIT,1914.00,miete,Carsten Austermühle,Miete 01/2024 EH-031,MIE-022,
TX-00011,2024-01-01,CREDIT,4096.00,miete,Björn Weinhage,Miete 01/2024 EH-037,MIE-023,
TX-00012,2024-01-01,CREDIT,32.51,hausgeld,Marcus Dowerg,"Hausgeld 01/2024 EH-037,EH-032",EIG-001,
TX-00013,2024-01-01,CREDIT,33.86,hausgeld,Dunja Schacht,"Hausgeld 01/2024 EH-012,EH-028",EIG-008,
TX-00014,2024-01-01,CREDIT,9.70,hausgeld,Horst Vollbrecht,"Hausgeld 01/2024 EH-002,EH-038",EIG-009,
TX-00015,2024-01-01,CREDIT,11.33,hausgeld,Ingbert Nerger,"Hausgeld 01/2024 EH-052,EH-050",EIG-010,
TX-00016,2024-01-01,CREDIT,33.57,hausgeld,Dominic Jacobs,"Hausgeld 01/2024 EH-023,EH-016",EIG-013,
TX-00017,2024-01-01,CREDIT,10.55,hausgeld,Dörte Kraus,Hausgeld 01/2024 EH-039,EIG-021,
TX-00018,2024-01-01,CREDIT,13.95,hausgeld,Ingolf Röhricht,Hausgeld 01/2024 EH-014,EIG-027,
TX-00019,2024-01-01,CREDIT,7.86,hausgeld,Xenia Conradi,Hausgeld 01/2024 EH-008,EIG-033,
TX-00020,2024-01-02,CREDIT,1676.00,miete,Julius Nette,Miete 01/2024 EH-025,MIE-001,
TX-00021,2024-01-02,CREDIT,2019.00,miete,Joanna Schäfer,Miete 01/2024 EH-049,MIE-003,
