Auftragskonto;Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Glaeubiger-ID;Mandatsreferenz;Kundenreferenz (End-to-End);Sammlerreferenz;Lastschrift Ursprungsbetrag;Auslagenersatz Ruecklastschrift;Beguenstigter/Zahlungspflichtiger;Kontonummer/IBAN;BIC (SWIFT-Code);Betrag;Waehrung;Info
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-045;;;TX-00001;;;;Chantal Täsche;DE80370400447710932480;DEUTDEBB101;1256,00;EUR;Saldo: 46256,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-023;;;TX-00002;;;;David Jenkins;DE86100701244677378263;GENODEF1P01;1767,00;EUR;Saldo: 48023,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-016;;;TX-00003;;;;Peggy Hein;DE91120300008091343161;BELADEBEXXX;1863,00;EUR;Saldo: 49886,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-010;;;TX-00004;;;;Kiara Mcintyre;DE54100701244740748217;GENODEF1P01;1583,00;EUR;Saldo: 51469,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-039;;;TX-00005;;;;Wilma Roht;DE11100100103695944064;GENODEF1P01;1127,00;EUR;Saldo: 52596,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-032;;;TX-00006;;;;Magrit Mitschke;DE71120300002328588424;HYVEDEMMXXX;901,00;EUR;Saldo: 53497,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-050;;;TX-00007;;;;Jörgen Seidel;DE72100700002675869261;GENODEF1P01;1006,00;EUR;Saldo: 54503,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-042;;;TX-00008;;;;Anika Zimmer;DE21370400441585064317;BELADEBEXXX;1925,00;EUR;Saldo: 56428,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-041;;;TX-00009;;;;Galina Wohlgemut;DE86100500009318393352;COBADEFFXXX;2111,00;EUR;Saldo: 58539,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-031;;;TX-00010;;;;Carsten Austermühle;DE26100100102053950240;BELADEBEXXX;1914,00;EUR;Saldo: 60453,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Miete 01/2024 EH-037;;;TX-00011;;;;Björn Weinhage;DE97100500009084700766;COBADEFFXXX;4096,00;EUR;Saldo: 64549,00
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Hausgeld 01/2024 EH-037,EH-032;;;TX-00012;;;;Marcus Dowerg;DE24100500002528809570;BYLADEM1001;32,51;EUR;Saldo: 64581,51
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Hausgeld 01/2024 EH-012,EH-028;;;TX-00013;;;;Dunja Schacht;DE96120300008820812191;HYVEDEMMXXX;33,86;EUR;Saldo: 64615,37
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Hausgeld 01/2024 EH-002,EH-038;;;TX-00014;;;;Horst Vollbrecht;DE95100700009854353462;BELADEBEXXX;9,70;EUR;Saldo: 64625,07
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Hausgeld 01/2024 EH-052,EH-050;;;TX-00015;;;;Ingbert Nerger;DE46100100101838425135;PBNKDEFFXXX;11,33;EUR;Saldo: 64636,40
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Hausgeld 01/2024 EH-023,EH-016;;;TX-00016;;;;Dominic Jacobs;DE97100700008262045053;PBNKDEFFXXX;33,57;EUR;Saldo: 64669,97
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Hausgeld 01/2024 EH-039;;;TX-00017;;;;Dörte Kraus;DE64100100107278895798;HYVEDEMMXXX;10,55;EUR;Saldo: 64680,52
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Hausgeld 01/2024 EH-014;;;TX-00018;;;;Ingolf Röhricht;DE57100100109232719374;PBNKDEFFXXX;13,95;EUR;Saldo: 64694,47
DE02 1001 0010 0123 4567 89;01.01.2024;01.01.2024;Gutschrift;Hausgeld 01/2024 EH-008;;;TX-00019;;;;Xenia Conradi;DE85100500001351823374;HYVEDEMMXXX;7,86;EUR;Saldo: 64702,33
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Miete 01/2024 EH-025;;;TX-00020;;;;Julius Nette;DE94120300004034471349;HYVEDEMMXXX;1676,00;EUR;Saldo: 66378,33
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Miete 01/2024 EH-049;;;TX-00021;;;;Joanna Schäfer;DE83100701245940139904;COBADEFFXXX;2019,00;EUR;Saldo: 68397,33
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Miete 01/2024 EH-051;;;TX-00022;;;;Horst-Günter Zänker;DE52100700006717565512;DEUTDEBB101;1537,00;EUR;Saldo: 69934,33
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Miete 01/2024 EH-003;;;TX-00023;;;;Ferenc Stahr;DE71100700004044997278;BYLADEM1001;1070,00;EUR;Saldo: 71004,33
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Miete 01/2024 EH-002;;;TX-00024;;;;Marliese Hermann;DE73100500009636057662;COBADEFFXXX;864,00;EUR;Saldo: 71868,33
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Miete 01/2024 EH-029;;;TX-00025;;;;Edeltraud Renner;DE57100701246851604817;BELADEBEXXX;2091,00;EUR;Saldo: 73959,33
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Miete 01/2024 EH-019;;;TX-00026;;;;Jasmin Trub;DE29120300005766156545;BELADEBEXXX;1206,00;EUR;Saldo: 75165,33
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Miete 01/2024 EH-006;;;TX-00027;;;;Kamil Trub;DE95370400442809885165;HYVEDEMMXXX;983,00;EUR;Saldo: 76148,33
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Hausgeld 01/2024 EH-047,EH-033;;;TX-00028;;;;Gertraud Holsten;DE43100700001171822782;GENODEF1P01;37,61;EUR;Saldo: 76185,94
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Hausgeld 01/2024 EH-034,EH-010;;;TX-00029;;;;Wolfgang Hettner;DE24100700004019655698;DEUTDEBB101;34,57;EUR;Saldo: 76220,51
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Hausgeld 01/2024 EH-018;;;TX-00030;;;;Irmingard Margraf;DE36100701246299468044;DEUTDEBB101;1,63;EUR;Saldo: 76222,14
DE02 1001 0010 0123 4567 89;02.01.2024;02.01.2024;Gutschrift;Hausgeld 01/2024 EH-022;;;TX-00031;;;;Oswald Gröttner;DE97100100104966319314;GENODEF1P01;12,32;EUR;Saldo: 76234,46
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Miete 01/2024 EH-021;;;TX-00032;;;;Edelgard Wulf;DE99100100100249947174;DEUTDEBB101;1511,00;EUR;Saldo: 77745,46
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Miete 01/2024 EH-013;;;TX-00033;;;;Steffi Riehl;DE76370400445168087603;BYLADEM1001;1653,00;EUR;Saldo: 79398,46
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Miete 01/2024 EH-046;;;TX-00034;;;;Ewa Thies;DE93120300000262174596;COBADEFFXXX;1726,00;EUR;Saldo: 81124,46
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Miete 01/2024 EH-022;;;TX-00035;;;;Alwine Sager;DE31100100104556238692;PBNKDEFFXXX;1460,00;EUR;Saldo: 82584,46
