id,anrede,vorname,nachname,email,telefon,einheit_id,eigentuemer_id,mietbeginn,mietende,kaltmiete,nk_vorauszahlung,kaution,iban,bic,sprache
MIE-001,Herr,Julius,Nette,julius.nette@outlook.com,05886753396,EH-025,EIG-003,2022-07-11,,1403.0,273.0,4209.0,DE94120300004034471349,HYVEDEMMXXX,de
MIE-002,Frau,Edelgard,Wulf,edelgard.wulf@gmx.de,0057662702,EH-021,EIG-031,2021-06-28,,1248.0,263.0,3744.0,DE99100100100249947174,DEUTDEBB101,de
MIE-003,Frau,Joanna,Schäfer,joanna.schaefer@outlook.com,01718702621,EH-049,EIG-003,2020-03-22,,1721.0,298.0,5163.0,DE83100701245940139904,COBADEFFXXX,de
MIE-004,Herr,Horst-Günter,Zänker,horst.guenter.zaenker@posteo.de,+49(0)5961 58657,EH-051,EIG-032,2021-07-23,,1283.0,254.0,3849.0,DE52100700006717565512,DEUTDEBB101,de
MIE-005,Frau,Steffi,Riehl,steffi.riehl@posteo.de,+49(0)9134316117,EH-013,EIG-024,2022-07-20,,1392.0,261.0,4176.0,DE76370400445168087603,BYLADEM1001,de
MIE-006,Frau,Chantal,Täsche,chantal.taesche@posteo.de,+49(0)0050 45562,EH-045,EIG-020,2023-01-29,,1076.0,180.0,3228.0,DE80370400447710932480,DEUTDEBB101,de
MIE-007,Herr,David,Jenkins,david.jenkins@gmail.com,+1-622-921-9693x79237,EH-023,EIG-013,2024-01-07,,1511.0,256.0,4533.0,DE86100701244677378263,GENODEF1P01,en
MIE-008,Herr,Ferenc,Stahr,ferenc.stahr@gmx.de,+49(0)7482175946,EH-003,EIG-025,2022-04-29,,861.0,209.0,2583.0,DE71100700004044997278,BYLADEM1001,de
MIE-009,Frau,Marliese,Hermann,marliese.hermann@posteo.de,04367 136959,EH-002,EIG-009,2021-01-21,,724.0,140.0,2172.0,DE73100500009636057662,COBADEFFXXX,de
MIE-010,Frau,Ewa,Thies,ewa.thies@gmail.com,+49(0)0640 90974,EH-046,EIG-030,2022-06-20,,1432.0,294.0,4296.0,DE93120300000262174596,COBADEFFXXX,de
MIE-011,Frau,Peggy,Hein,peggy.hein@outlook.com,(05339) 421047,EH-016,EIG-013,2024-01-11,,1555.0,308.0,4665.0,DE91120300008091343161,BELADEBEXXX,de
MIE-012,Frau,Alwine,Sager,alwine.sager@web.de,02145623285,EH-022,EIG-028,2020-04-04,,1198.0,262.0,3594.0,DE31100100104556238692,PBNKDEFFXXX,de
MIE-013,Frau,Kiara,Mcintyre,kiara.mcintyre@icloud.com,(547)845-1712,EH-010,EIG-016,2020-10-20,,1261.0,322.0,3783.0,DE54100701244740748217,GENODEF1P01,en
MIE-014,Frau,Wilma,Roht,wilma.roht@gmail.com,01604817549,EH-039,EIG-021,2022-02-26,,946.0,181.0,2838.0,DE11100100103695944064,GENODEF1P01,de
MIE-015,Frau,Hanna,Schweitzer,hanna.schweitzer@gmx.de,01370985931,EH-034,EIG-016,2024-09-01,,2012.0,392.0,6036.0,DE49370400443953394210,HYVEDEMMXXX,de
MIE-016,Frau,Magrit,Mitschke,magrit.mitschke@gmail.com,+49(0)6120 04711,EH-032,EIG-001,2021-08-27,,776.0,125.0,2328.0,DE71120300002328588424,HYVEDEMMXXX,de
MIE-017,Frau,Edeltraud,Renner,edeltraud.renner@gmx.de,+49 (0) 6758 692617,EH-029,EIG-022,2024-03-24,,1781.0,310.0,5343.0,DE57100701246851604817,BELADEBEXXX,de
MIE-018,Frau,Louise,Ladeck,louise.ladeck@outlook.com,+49(0)0537 73515,EH-035,EIG-011,2022-01-30,,1224.0,272.0,3672.0,DE93100500007098593174,DEUTDEBB101,de
MIE-019,Herr,Jörgen,Seidel,joergen.seidel@gmx.de,00643171390,EH-050,EIG-010,2020-07-18,,827.0,179.0,2481.0,DE72100700002675869261,GENODEF1P01,de
MIE-020,Frau,Anika,Zimmer,anika.zimmer@gmx.de,03293183933,EH-042,EIG-019,2022-06-29,,1643.0,282.0,4929.0,DE21370400441585064317,BELADEBEXXX,de
MIE-021,Frau,Galina,Wohlgemut,galina.wohlgemut@outlook.com,+49 (0) 9042 284210,EH-041,EIG-029,2021-11-14,,1840.0,271.0,5520.0,DE86100500009318393352,COBADEFFXXX,de
MIE-022,Herr,Carsten,Austermühle,carsten.austermuehle@web.de,03950240268,EH-031,EIG-011,2020-08-13,,1566.0,348.0,4698.0,DE26100100102053950240,BELADEBEXXX,de
MIE-023,Herr,Björn,Weinhage,bjoern.weinhage@gmx.de,+49(0)7758 917839,EH-037,EIG-001,2020-08-11,,3661.0,435.0,10983.0,DE97100500009084700766,COBADEFFXXX,de
MIE-024,Frau,Anette,Vogt,anette.vogt@gmx.de,(08470) 07661,EH-009,EIG-014,2020-10-30,2026-02-27,1139.0,191.0,3417.0,DE22100700008569847896,HYVEDEMMXXX,de
MIE-025,Frau,Jasmin,Trub,jasmin.trub@outlook.com,01159 212499,EH-019,EIG-014,2022-07-13,,1031.0,175.0,3093.0,DE29120300005766156545,BELADEBEXXX,de
MIE-026,Herr,Kamil,Trub,kamil.trub@gmx.de,06984789611,EH-006,EIG-035,2020-07-16,,850.0,133.0,2550.0,DE95370400442809885165,HYVEDEMMXXX,de
